id,timestamp,category,subcategory,headline,detail,location_name,lat,lng,country,sources,confidence,briefingRef,reported_killed,reported_injured,casualty_source
evt-001,2026-02-28T06:00:00Z,military,airstrike,"US-Israeli strikes begin across 24 Iranian provinces","Coordinated first-strike campaign targeting military infrastructure across all 24 provinces of Iran. War begins.","Iran (nationwide)",32.4279,53.688,IR,"CENTCOM; IDF",CONFIRMED,2026-03-01-1700,,,"Not yet reported"
evt-002,2026-02-28T08:00:00Z,leadership,assassination,"Supreme Leader Khamenei killed in strike","Ayatollah Ali Khamenei confirmed killed. Succession crisis triggered. Mojtaba Khamenei later named successor.","Tehran",35.6892,51.389,IR,"Iranian state media; multiple OSINT",CONFIRMED,2026-03-01-1700,1,,"Iranian state media"
evt-003,2026-02-28T10:00:00Z,civilian,school_strike,"Minab school struck — children killed","School in Minab hit during military operations. Death toll rose from initial reports to 175 children. US Army later acknowledged proximity to IRGC facility. Investigation ongoing.","Minab, Hormozgan Province",27.105,57.081,IR,"Iranian Red Crescent; US Army",CONFIRMED,2026-03-01-1700,175,,"Iranian Red Crescent / US Army acknowledgment"
evt-004,2026-02-28T12:00:00Z,naval,strait_closure,"Iran issues Strait of Hormuz closure warnings","IRGC Navy begins threatening closure of Strait of Hormuz. Later formally declared closed (selective enforcement — Chinese ships passing).","Strait of Hormuz",26.5667,56.25,IR,"IRGC Navy; Reuters",CONFIRMED,2026-03-01-1700,0,0,"N/A"
evt-005,2026-03-01T06:00:00Z,military,us_casualties,"6 US service members killed at Shuaiba, Kuwait","First US combat deaths. 6 KIA at Shuaiba base in Kuwait from IRGC missile/drone attack. 10 seriously wounded.","Shuaiba, Kuwait",29.05,48.17,KW,"Pentagon; CNN",CONFIRMED,2026-03-01-1700,6,10,"Pentagon"
evt-006,2026-03-01T08:00:00Z,diplomatic,back_channel,"Iran contacts CIA via back-channel","MOIS makes contact with CIA. Later revealed as Larijani back-channel via Oman.","Unknown (via Oman)",23.588,58.3829,OM,"Multiple intelligence sources",REPORTED,2026-03-01-1700,0,0,"N/A"
evt-007,2026-03-01T10:00:00Z,military,proxy_escalation,"Hezbollah enters war — Lebanon front active","Hezbollah opens fire from Lebanon. Attacks on Maroun al-Ras, Kfar Kila, Golan Heights, Haifa port. IDF responds with Dahiya strikes.","Southern Lebanon / Northern Israel",33.2774,35.2037,LB,"IDF; Al Jazeera; Reuters",CONFIRMED,2026-03-02-0100,,,"Ongoing"
evt-008,2026-03-01T22:00:00Z,military,airstrike,"UK grants basing + first kinetic engagement","UK confirms military basing for operations against Iran. First British kinetic engagement in the conflict.","UK bases (Gulf region)",25.9304,50.6378,BH,"UK MOD; BBC",CONFIRMED,2026-03-01-1700,0,0,"N/A"
evt-009,2026-03-01T22:00:00Z,civilian,hospital_strike,"Gandhi Hospital Tehran struck by Israeli strike","Gandhi Hospital in Tehran hit. Neonatal ward later confirmed destroyed.","Gandhi Hospital, Tehran",35.7,51.42,IR,"Iranian media; WHO",CONFIRMED,2026-03-01-1700,,,"Not yet tallied"
evt-010,2026-03-02T04:00:00Z,terrorism,domestic_attack,"Austin TX shooting — 3 dead","Shooting in Austin, Texas. FBI investigating potential connection to conflict. Suspect named as Diagne.","Austin, Texas, USA",30.2672,-97.7431,US,"FBI; AP",CONFIRMED,2026-03-02-1800,3,,"FBI"
